uo_id,pidm,id_bl,cohort,id_eoy_2223
951551119,4292655,786,1617,NA
951551216,4292755,787,1617,NA
951551307,4292996,788,1617,NA
951551448,4293140,789,1617,NA
951551606,4293305,790,1617,NA
951551637,4293336,791,1617,NA
951551639,4293338,792,1617,NA
951551659,4293358,793,1617,NA
951551666,4293365,794,1617,NA
951551717,4293416,795,1617,NA
951551768,4293467,796,1617,NA
951551951,4294241,797,1617,NA
951551996,4294286,798,1617,NA
951552025,4294319,799,1617,NA
951552054,4294350,800,1617,NA
951552065,4294361,801,1617,NA
951552106,4294402,802,1617,NA
951552135,4294431,803,1617,NA
951552160,4294800,804,1617,NA
951552230,4294872,805,1617,NA
951552246,4294888,806,1617,NA
951552258,4294900,807,1617,NA
951552280,4294924,808,1617,NA
951552300,4294944,809,1617,NA
951552322,4294966,810,1617,NA
951552326,4294970,811,1617,NA
951552386,4295033,812,1617,NA
951552534,4295181,813,1617,NA
951552592,4295239,814,1617,NA
951552604,4295251,815,1617,NA
951552611,4295258,816,1617,NA
951552613,4295260,817,1617,NA
951552634,4295281,818,1617,NA
951552648,4295295,819,1617,NA
951552702,4295738,820,1617,NA
951553129,4296169,821,1617,NA
951553161,4296201,822,1617,NA
951553202,4296243,823,1617,NA
951553533,4296574,824,1617,NA
951553652,4296693,825,1617,NA
951553690,4296731,826,1617,1536
951553740,4296781,827,1617,NA
951553786,4296827,828,1617,NA
951554016,4297057,829,1617,NA
951554023,4297064,830,1617,NA
951554046,4297087,831,1617,NA
951554110,4297151,832,1617,NA
951554187,4297228,833,1617,NA
951554309,4297350,834,1617,NA
951554351,4297392,835,1617,NA
951554389,4297430,836,1617,NA
951554404,4297445,837,1617,NA
951554442,4297483,838,1617,NA
951554577,4298014,839,1617,NA
951554679,4298117,840,1617,NA
951554757,4298196,841,1617,NA
951554782,4298221,842,1617,NA
951554889,4298332,843,1617,NA
951554908,4298351,844,1617,NA
951554970,4298413,845,1617,NA
951555009,4298452,846,1617,NA
951555234,4299214,847,1617,NA
951555244,4299225,848,1617,NA
951555296,4299283,849,1617,NA
951555310,4299298,850,1617,NA
951555313,4299301,851,1617,NA
951555330,4299318,852,1617,NA
951555351,4299339,853,1617,NA
951555377,4299365,854,1617,NA
951555397,4299385,855,1617,NA
951555454,4299442,856,1617,NA
951555489,4299477,857,1617,NA
951555523,4299511,858,1617,NA
951555570,4299558,859,1617,NA
951555587,4299575,860,1617,NA
951555689,4299677,861,1617,NA
951555698,4299686,862,1617,NA
951555702,4299690,863,1617,NA
951555711,4299699,864,1617,NA
951555716,4299704,865,1617,NA
951555740,4299728,866,1617,NA
951555750,4299738,867,1617,NA
